,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam
0,0,0,0,2009-09-10,2009091000,1,1,,15:00,15,3600.0,0.0,TEN,30.0,30.0,0,0,0.0,,PIT
1,1,1,1,2009-09-10,2009091000,1,1,1.0,14:53,15,3593.0,7.0,PIT,42.0,58.0,10,5,0.0,0.0,PIT
2,2,2,2,2009-09-10,2009091000,1,1,2.0,14:16,15,3556.0,37.0,PIT,47.0,53.0,5,2,0.0,0.0,PIT
3,3,3,3,2009-09-10,2009091000,1,1,3.0,13:35,14,3515.0,41.0,PIT,44.0,56.0,8,2,0.0,0.0,PIT
4,4,4,4,2009-09-10,2009091000,1,1,4.0,13:27,14,3507.0,8.0,PIT,44.0,56.0,8,2,0.0,1.0,PIT
5,5,5,5,2009-09-10,2009091000,2,1,1.0,13:16,14,3496.0,11.0,TEN,2.0,98.0,10,0,0.0,0.0,TEN
6,6,6,6,2009-09-10,2009091000,2,1,2.0,12:40,13,3460.0,36.0,TEN,2.0,98.0,10,4,0.0,0.0,TEN
7,7,7,7,2009-09-10,2009091000,2,1,3.0,12:11,13,3431.0,29.0,TEN,6.0,94.0,6,2,0.0,0.0,TEN
8,8,8,8,2009-09-10,2009091000,2,1,4.0,11:34,12,3394.0,37.0,TEN,4.0,96.0,8,2,0.0,1.0,TEN
9,9,9,9,2009-09-10,2009091000,3,1,1.0,11:24,12,3384.0,10.0,TEN,43.0,43.0,10,3,0.0,0.0,PIT
10,10,10,10,2009-09-10,2009091000,3,1,2.0,10:48,11,3348.0,36.0,TEN,40.0,40.0,7,13,0.0,1.0,PIT
11,11,11,11,2009-09-10,2009091000,3,1,1.0,10:21,11,3321.0,27.0,TEN,30.0,30.0,10,12,0.0,0.0,PIT
12,12,12,12,2009-09-10,2009091000,3,1,2.0,09:43,10,3283.0,38.0,TEN,31.0,31.0,11,21,0.0,0.0,PIT
13,13,13,13,2009-09-10,2009091000,3,1,3.0,09:01,10,3241.0,42.0,TEN,22.0,22.0,2,2,0.0,0.0,PIT
14,14,14,14,2009-09-10,2009091000,3,1,4.0,08:25,9,3205.0,36.0,TEN,41.0,41.0,21,2,0.0,1.0,PIT
